58138 27
49002 26
28456 28
28102 2
25636 13
20955 14
14551 25
8149 12
4175 15
1701 29
1241 24
1233 3
431 11
109 23
8 7
2 8
1 1
0 0
0 4
0 5
0 6
0 9
0 10
0 16
0 17
0 18
0 19
0 20
0 21
0 22
0 30
0 31
0 32
0 33
0 34
0 35
0 36
0 37
0 38
0 39
0 40
0 41
0 42
0 43
0 44
0 45
0 46
0 47
0 48
0 49
0 50
0 51
0 52
0 53
0 54
0 55
0 56
0 57
0 58
0 59
0 60
0 61
0 62
0 63
0 64
0 65
0 66
0 67
0 68
0 69
0 70
0 71
0 72
0 73
0 74
0 75
0 76
0 77
0 78
0 79
0 80
0 81
0 82
0 83
0 84
0 85
0 86
0 87
